,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc_ovr,split1_test_roc_auc_ovr,split2_test_roc_auc_ovr,split3_test_roc_auc_ovr,split4_test_roc_auc_ovr,mean_test_roc_auc_ovr,std_test_roc_auc_ovr,rank_test_roc_auc_ovr
1,2.051716184616089,0.027465564044693965,0.07962126731872558,0.0010149980816697717,10,10000,"{'C': 10, 'max_iter': 10000}",0.39827586206896554,0.41206896551724137,0.44041450777202074,0.38341968911917096,0.3955094991364421,0.4059377047227682,0.01949745952042447,1,0.5834370257682693,0.5482601963195741,0.5668483928073296,0.511429168519602,0.6066542399556454,0.563325804674084,0.03229382772062274,10
9,1.0881989002227783,0.011910821474938294,0.08042721748352051,0.0008032286248449127,0.1,10000,"{'C': 0.1, 'max_iter': 10000}",0.40344827586206894,0.4086206896551724,0.43350604490500866,0.3644214162348877,0.40414507772020725,0.40282830087546895,0.022144447631652305,2,0.5600804706287544,0.5533843621111556,0.5335920936668181,0.5205587707957218,0.6403091322720635,0.5615849658949028,0.04179415595534069,11
10,1.0962513923645019,0.016228219105748953,0.08025903701782226,0.0007929836262796691,0.1,50000,"{'C': 0.1, 'max_iter': 50000}",0.40344827586206894,0.4086206896551724,0.43350604490500866,0.3644214162348877,0.40414507772020725,0.40282830087546895,0.022144447631652305,2,0.5600804706287544,0.5533843621111556,0.5335920936668181,0.5205587707957218,0.6403091322720635,0.5615849658949028,0.04179415595534069,11
11,1.0903789043426513,0.011321039731019233,0.08141741752624512,0.0012034287551390573,0.1,100000,"{'C': 0.1, 'max_iter': 100000}",0.40344827586206894,0.4086206896551724,0.43350604490500866,0.3644214162348877,0.40414507772020725,0.40282830087546895,0.022144447631652305,2,0.5600804706287544,0.5533843621111556,0.5335920936668181,0.5205587707957218,0.6403091322720635,0.5615849658949028,0.04179415595534069,11
5,1.3239198684692384,0.017542188406691427,0.08020377159118652,0.0011246758785577087,1,10000,"{'C': 1, 'max_iter': 10000}",0.40344827586206894,0.4103448275862069,0.4231433506044905,0.3626943005181347,0.4075993091537133,0.40144601274492286,0.020462310185138926,5,0.6096613561339549,0.5470733747519658,0.5260920572444121,0.5290322794377366,0.6337219103505117,0.5691161955837163,0.044184819085815716,6
6,1.335357141494751,0.024973909957098982,0.08142662048339844,0.001742856440484383,1,50000,"{'C': 1, 'max_iter': 50000}",0.40344827586206894,0.4103448275862069,0.4231433506044905,0.3626943005181347,0.4075993091537133,0.40144601274492286,0.020462310185138926,5,0.6096613561339549,0.5469543158323491,0.5254240684880107,0.5290322794377366,0.6337410069269376,0.5689626053637978,0.04433289873958746,7
7,1.3405325889587403,0.033763679430201,0.08034319877624511,0.0010553487100943924,1,100000,"{'C': 1, 'max_iter': 100000}",0.40344827586206894,0.4103448275862069,0.4231433506044905,0.3626943005181347,0.4075993091537133,0.40144601274492286,0.020462310185138926,5,0.6096613561339549,0.5469543158323491,0.5254240684880107,0.5290322794377366,0.6337410069269376,0.5689626053637978,0.04433289873958746,7
2,3.2969273567199706,0.1318888018207134,0.0824206829071045,0.0021906421631893384,10,50000,"{'C': 10, 'max_iter': 50000}",0.40344827586206894,0.4103448275862069,0.4231433506044905,0.3626943005181347,0.4058721934369603,0.4011005896015723,0.020369890150162922,8,0.5908854269895609,0.5495589780940464,0.5692861994878246,0.5278131533013083,0.6350892177701344,0.5745265951285748,0.03679247731611406,5
3,3.9744784355163576,0.16026879204022212,0.08022909164428711,0.0014515868624845369,10,100000,"{'C': 10, 'max_iter': 100000}",0.40344827586206894,0.4103448275862069,0.4231433506044905,0.3626943005181347,0.4058721934369603,0.4011005896015723,0.020369890150162922,8,0.5745783095055972,0.5494796917180007,0.570847449799043,0.47981573399567506,0.6120319152926071,0.5573506200621846,0.04368663826601204,19
8,1.0580235481262208,0.005222577291350735,0.08160367012023925,0.0018540476705125708,0.1,1000,"{'C': 0.1, 'max_iter': 1000}",0.3879310344827586,0.4068965517241379,0.4386873920552677,0.3644214162348877,0.39896373056994816,0.3993800250134,0.024310180133107956,10,0.5598483748821528,0.553028552487995,0.5342020381227666,0.5215171465067368,0.6378414547794918,0.5612875133558286,0.04061057140591017,14
16,1.039423656463623,0.0098346307183358,0.08285856246948242,0.0021008494200202613,0.001,1000,"{'C': 0.001, 'max_iter': 1000}",0.3896551724137931,0.3879310344827586,0.38860103626943004,0.38860103626943004,0.38687392055267705,0.3883324399976178,0.0009145834371880418,11,0.5772347287077125,0.5723788188239962,0.5720519810588963,0.5410872458500193,0.6275727235886904,0.5780650996058629,0.027883856980095812,1
